MR,Ref
"name[Aromi], customerrating[average], eattype[coffee shop], area[riverside], food[Chinese], period[.], familyfriendly[yes], period[.]","Aromi is an average coffee shop in the riverside area, but they also serve Chinese food. Aromi is also children friendly."
"familyfriendly[yes], food[Chinese], eattype[coffee shop], area[riverside], name[Aromi], period[.], customerrating[average], period[.]",Family friendly Chinese food coffee shop in the riverside area try Aromi. Very average priced.
"name[Aromi], food[Chinese], eattype[coffee shop], familyfriendly[yes], customerrating[average], area[riverside], period[.]","Aromi Chinese coffee shop, family friendly, rates average in the riverside area."
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[average], area[riverside], familyfriendly[yes], period[.]","Aromi,  is a coffee shop eatery where you can dine on Chinese cuisine and has earned an average customer rating, located in the Riverside area and is a family friendly eatery."
"familyfriendly[yes], name[Aromi], area[riverside], food[Chinese], customerrating[high], period[.]","A kid friendly coffee called Aromi is located near the riverside, it serves Chinese food and receives high ratings."
"name[Aromi], eattype[coffee shop], area[riverside], food[Chinese], period[.], customerrating[high], familyfriendly[yes], period[.]","Aromi is a coffee shop located riverside, which serves Chinese. They have a high customer rating and are family friendly."
"name[Aromi], food[Chinese], eattype[coffee shop], area[riverside], customerrating[high], familyfriendly[yes], period[.]",Aromi is a Chinese coffee shop by the riverside with a high customer rating and is kids friendly.
"name[Aromi], eattype[coffee shop], area[riverside], familyfriendly[yes], food[Chinese], customerrating[high], period[.]","Aromi is a nice coffee shop near the riverside that is kid friendly, also serves Chinese food and receives high ratings"
"food[Chinese], eattype[coffee shop], area[riverside], name[Aromi], customerrating[high], familyfriendly[yes], period[.]",The Chinese coffee shop by the riverside called Aromi has a high customer rating and is kids friendly.
"name[Aromi], eattype[coffee shop], customerrating[high], food[Chinese], area[riverside], familyfriendly[yes], period[.]",The Aromi coffee shop has highly rated Chinese food in the riverside area and is very kid friendly.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[high], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is high.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[high], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is high.
"customerrating[high], familyfriendly[yes], name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.]",The highly rated and kid friendly Aromi coffee shop serves Chinese food in the riverside area.
"eattype[coffee shop], name[Aromi], food[Chinese], period[.], familyfriendly[yes], area[riverside], customerrating[high], period[.]","The coffee shop, Aromi, serves Chinese food. They are family friendly, located riverside and has a high customer rating."
"name[Aromi], eattype[coffee shop], food[Chinese], customerrating[low], familyfriendly[no], period[.], area[city centre], period[.]","Aromi coffee shop serves Chinese food, is rated low, and is not family-friendly.  It is located in the city centre."
"name[Aromi], food[Chinese], eattype[coffee shop], customerrating[low], familyfriendly[no], area[city centre], period[.]","Aromi, a Chinese coffee shop, has a low rating, is not family friendly, and is located in the city centre."
"customerrating[low], familyfriendly[no], name[Aromi], food[Chinese], eattype[coffee shop], area[city centre], period[.]","Low rate, not family friendly, Aromi Chinese coffee shop in the city center."
"name[Aromi], food[Chinese], eattype[coffee shop], area[city centre], customerrating[low], familyfriendly[no], period[.]","Aromi Chinese coffee shop in the city center, low rate, not family friendly"
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], customerrating[low], area[city centre], familyfriendly[no], period[.]",Aromi is a coffee shop that serves Chinese food. It has low customer ratings and it is located in the city centre. It is not family friendly.
"name[Aromi], eattype[coffee shop], area[city centre], period[.], food[Chinese], customerrating[low], familyfriendly[no], period[.]",Aromi Is a coffee shop located in the centre of the city. They serve Chinese food and have a low customer rating. They are not family friendly
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], familyfriendly[yes], customerrating[low], period[.]",Aromi is a coffee shop that offers Chinese food in the city centre. It is a family friendly restaurant with a low customer rating.
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], customerrating[low], period[.]",Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is low.
"name[Aromi], familyfriendly[yes], food[Chinese], eattype[coffee shop], area[city centre], customerrating[low], period[.]",Aromi is a family friendly Chinese coffee shop in the city centre with a low customer rating.
"name[Aromi], eattype[coffee shop], food[Chinese], area[city centre], period[.], customerrating[low], period[.]",Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is low.
"area[riverside], name[Aromi], eattype[coffee shop], familyfriendly[no], customerrating[low], period[.], food[Chinese], period[.]",The riverside Aromi coffee shop is not family friendly and has a low customer rating. It does serve Chinese food.
"name[Aromi], eattype[coffee shop], food[Chinese], period[.], customerrating[low], area[riverside], familyfriendly[no], period[.]",The Aromi coffee shop serves Chinese food. It has a low customer rating. It is on the riverside but is not family friendly.
"area[riverside], eattype[coffee shop], customerrating[low], food[Chinese], name[Aromi], period[.], familyfriendly[no], period[.]",Conveniently located in riverside is a coffee shop serving low rated Chinese food called Aromi.  They are not family friendly.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[low], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is low.
"name[Aromi], food[Chinese], eattype[coffee shop], area[riverside], period[.], familyfriendly[no], customerrating[low], period[.]",Aromi is a Chinese coffee shop in the riverside area. It is not family friendly and has a low customer rating.
"name[Aromi], customerrating[low], eattype[coffee shop], food[Chinese], area[riverside], period[.], familyfriendly[no], period[.]",Aromi is a low rated coffee shop serving Chinese food in riverside.  They are not family oriented.
"name[Aromi], familyfriendly[yes], food[Chinese], eattype[coffee shop], area[riverside], period[.]",Aromi is a family friendly Chinese coffee shop in the riverside area.
"customerrating[low], eattype[coffee shop], food[Chinese], area[riverside], period[.], name[Aromi], familyfriendly[yes], period[.]",There is a low customer rating coffee shop that provides Chinese food located in Riverside. Aromi is family friendly.
"name[Aromi], customerrating[low], familyfriendly[yes], eattype[coffee shop], food[Chinese], area[riverside], period[.]","Try Aromi for a low rated, family friendly coffee shop that offers Chinese food in the riverside area."
"name[Aromi], familyfriendly[yes], food[Chinese], eattype[coffee shop], area[riverside], customerrating[low], period[.]",Aromi is a family friendly Chinese food coffee shop in the riverside area with a low customer rating.
"name[Aromi], eattype[coffee shop], food[Chinese], area[riverside], period[.], customerrating[low], period[.]",Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is low.
"name[Aromi], food[Chinese], eattype[coffee shop], customerrating[low], area[riverside], period[.]",Aromi is a Chinese coffee shop with a low customer rating in the riverside area.
"name[Aromi], food[English], eattype[coffee shop], area[riverside], familyfriendly[yes], customerrating[1 out of 5], period[.]",Aromi  is a English coffee shop in Riverside that is children friendly with the customer rating of 1 out of 5
"area[riverside], eattype[coffee shop], name[Aromi], food[English], familyfriendly[yes], customerrating[1 out of 5], period[.]",Near the riverside you can find a coffee shop called Aromi that serve English cuisine that welcomes kids but has a 1 out of 5 customer rating.
"name[Aromi], eattype[coffee shop], food[English], period[.], customerrating[1 out of 5], area[riverside], familyfriendly[yes], period[.]",Aromi is a coffee shop selling British food. It has a low customer rating but is found by the riverside and is child-friendly.
"food[English], eattype[coffee shop], familyfriendly[yes], name[Aromi], area[riverside], customerrating[1 out of 5], period[.]","An English coffee shop that welcomes children, Aromi is near the riverside with a low customer rating"
